verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,background,foreground,border
true,cultures:africa:lomekwi,cultures-africa,-3300000,-3200000,Lomekwi 3,Lomekwi,https://fr.wikipedia.org/wiki/Lomekwi_3,https://en.wikipedia.org/wiki/Lomekwi,site archéolohique préhistorique,Kenyan archaeological site dated to 3.3 million years ago,oklch(76.9% 0.188 70.08),,
true,cultures:africa:oldowan,cultures-africa,-2600000,-1400000,Oldowayen,Oldowan,https://fr.wikipedia.org/wiki/Oldowayen,https://en.wikipedia.org/wiki/Oldowan,,Archaeological culture,oklch(76.9% 0.188 70.08),,
true,cultures:africa:acheulean,cultures-africa,-1750000,-200000,Acheuléen,Acheulean,https://fr.wikipedia.org/wiki/Acheuléen,https://en.wikipedia.org/wiki/Acheulean,culture préhistorique,Archaeological culture associated with Homo erectus,oklch(76.9% 0.188 70.08),,
true,cultures:africa:lupemban_culture,cultures-africa,-400000,-40000,Lupembien,Lupemban culture,https://fr.wikipedia.org/wiki/Lupembien,https://en.wikipedia.org/wiki/Lupemban_culture,,Ancient Central African culture,oklch(76.9% 0.188 70.08),,
true,cultures:africa:aterian,cultures-africa,-145000,-30000,Atérien,Aterian,https://fr.wikipedia.org/wiki/Atérien,https://en.wikipedia.org/wiki/Aterian,,Archaeological culture,oklch(76.9% 0.188 70.08),,
true,cultures:africa:sangoan,cultures-africa,-300000,-200000,Sangoen,Sangoan,https://fr.wikipedia.org/wiki/Sangoen,https://en.wikipedia.org/wiki/Sangoan,,Prehistoric culture in sub-Saharan Africa,oklch(76.9% 0.188 70.08),,
true,cultures:africa:khormusan,cultures-africa,-42000,-18000,Khormousan,Khormusan,https://en.wikipedia.org/wiki/Khormusan,https://en.wikipedia.org/wiki/Khormusan,,Paleolithic archeological industry in Nubia,oklch(76.9% 0.188 70.08),,
true,cultures:africa:iberomaurusian,cultures-africa,-25000,-10000,Ibéromaurusien,Iberomaurusian,https://fr.wikipedia.org/wiki/Ibéromaurusien,https://en.wikipedia.org/wiki/Iberomaurusian,,Archaeological culture in North Africa,oklch(76.9% 0.188 70.08),,
true,cultures:africa:halfan_culture,cultures-africa,-22500,-15000,Halfan,Halfan culture,https://en.wikipedia.org/wiki/Halfan_culture,https://en.wikipedia.org/wiki/Halfan_culture,,Prehistoric people in the Upper Nile Valley,oklch(76.9% 0.188 70.08),,
true,cultures:africa:qadan_culture,cultures-africa,-15000,-10000,Qadan,Qadan culture,https://en.wikipedia.org/wiki/Qadan_culture,https://en.wikipedia.org/wiki/Qadan_culture,,"Culture in Upper Egypt approximately 15,000 years ago",oklch(76.9% 0.188 70.08),,
true,cultures:africa:mushabian_culture,cultures-africa,-14500,-12500,Mushabien,Mushabian culture,https://en.wikipedia.org/wiki/Mushabian_culture,https://en.wikipedia.org/wiki/Mushabian_culture,,Epipalaeolithic archaeological culture of the southern Levant,oklch(76.9% 0.188 70.08),,
true,cultures:africa:sebilian,cultures-africa,-15000,-12000,Sébilien,Sebilian,https://fr.wikipedia.org/wiki/Sébilien,https://en.wikipedia.org/wiki/Sebilian,,"A pre-historic archaeological culture in Egypt spanning the period c.13,000-10,000 BCE",oklch(76.9% 0.188 70.08),,
true,cultures:africa:eburran_industry,cultures-africa,-13000,1000,Éburrien,Eburran industry,https://fr.wikipedia.org/wiki/Éburrien,https://en.wikipedia.org/wiki/Eburran_industry,culture archéologique du Kenya,13000 BCE East African tool assemblage,oklch(76.9% 0.188 70.08),,
true,cultures:africa:magosian,cultures-africa,-10000,-6000,Magosien,Magosian,https://fr.wikipedia.org/wiki/Magosien,https://en.wikipedia.org/wiki/Magosian,,Archaeological culture in Africa.,oklch(76.9% 0.188 70.08),,
true,cultures:africa:capsian,cultures-africa,-7500,-4000,Capsien,Capsian,https://fr.wikipedia.org/wiki/Capsien,https://en.wikipedia.org/wiki/Capsian,,Culture centered in the Maghreb that lasted from about 9000 to 5400 cal BC,oklch(76.9% 0.188 70.08),,
true,cultures:africa:kiffian_culture,cultures-africa,-7700,-6200,Kiffiens,Kiffian culture,https://fr.wikipedia.org/wiki/Kiffiens,https://en.wikipedia.org/wiki/Kiffian_culture,peuple de chasseurs et éleveurs de l'Afrique néolithique,African Neolithic culture,oklch(76.9% 0.188 70.08),,
true,cultures:africa:prehistoric_egypt#faiyum_a_culture,cultures-africa,-6200,-3100,Prehistoric Egypt,Prehistoric Egypt,https://en.wikipedia.org/wiki/Prehistoric_Egypt#Faiyum_A_culture,https://en.wikipedia.org/wiki/Prehistoric_Egypt#Faiyum_A_culture,,Period before the First Dynasty of Egypt,oklch(76.9% 0.188 70.08),,
