id,group,type,name_fr,name_en,start,end,wiki_fr,wiki_en,credits_url,credits_attribution,size,cover,background,foreground,border
1765016958-222,dinosaurs-carnivorous,range,Eoraptor,Eoraptor,-228000000,-227000000,https://fr.wikipedia.org/wiki/Eoraptor,https://en.wikipedia.org/wiki/Eoraptor,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,Natural History Museum,1.7m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2Feor.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016893-190,dinosaurs-carnivorous,range,Herrerasaurus,Herrerasaurus,-228000000,-227000000,https://fr.wikipedia.org/wiki/Herrerasaurus,https://en.wikipedia.org/wiki/Herrerasaurus,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html,Natural History Museum,3.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2Fherrera.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765017035-260,dinosaurs-carnivorous,range,Chindesaurus,Chindesaurus,-227000000,-210000000,https://fr.wikipedia.org/wiki/Chindesaurus,https://en.wikipedia.org/wiki/Chindesaurus,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,Natural History Museum,4.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FChindesaurus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016604-48,dinosaurs-carnivorous,range,Staurikosaurus,Staurikosaurus,-227000000,-221000000,https://fr.wikipedia.org/wiki/Staurikosaurus,https://en.wikipedia.org/wiki/Staurikosaurus,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,Natural History Museum,2.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FStaurikosaurus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765017023-254,dinosaurs-carnivorous,range,Coelophysis,Coelophysis,-225000000,-190000000,https://fr.wikipedia.org/wiki/Coelophysis,https://en.wikipedia.org/wiki/Coelophysis,https://www.nhm.ac.uk/discover/dino-directory/coelophysis.html,Natural History Museum,2.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2Fcoelo.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016689-90,dinosaurs-carnivorous,range,Procompsognathus,Procompsognathus,-221000000,-210000000,https://fr.wikipedia.org/wiki/Procompsognathus,https://en.wikipedia.org/wiki/Procompsognathus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,Natural History Museum,1.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FProcompsognathus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016832-160,dinosaurs-carnivorous,range,Liliensternus,Liliensternus,-205000000,-202000000,https://fr.wikipedia.org/wiki/Liliensternus,https://en.wikipedia.org/wiki/Liliensternus,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html,Natural History Museum,5.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FLiliensternus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016828-158,dinosaurs-carnivorous,range,Lophostropheus,Lophostropheus,-203000000,-196000000,https://fr.wikipedia.org/wiki/Lophostropheus,https://en.wikipedia.org/wiki/Lophostropheus,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html,Natural History Museum,6.2m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2Flophostropheus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016653-72,dinosaurs-carnivorous,range,Sarcosaurus,Sarcosaurus,-202000000,-195000000,https://fr.wikipedia.org/wiki/Sarcosaurus,https://en.wikipedia.org/wiki/Sarcosaurus,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html,Natural History Museum,3.0m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FSarcosaurus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
1765016702-96,dinosaurs-carnivorous,range,Podokesaurus,Podokesaurus,-195000000,-180000000,https://fr.wikipedia.org/wiki/Podokesaurus,https://en.wikipedia.org/wiki/Podokesaurus,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,Natural History Museum,0.9m,https://www.nhm.ac.uk/discover/dino-directory/_next/image?url=https%3A%2F%2Fwww.nhm.ac.uk%2Fresources%2Fnature-online%2Flife%2Fdinosaurs%2Fdinosaur-directory%2Fimages%2Freconstruction%2Fsmall%2FPodokesaurus.jpg&w=828&q=75,oklch(63.7% 0.237 25.331),,
