id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
egypt:period-predynastic,egypt-periods,-6000,-3150,Période prédynastique,Predynastic Period,https://fr.wikipedia.org/wiki/Période_prédynastique_égyptienne,https://en.wikipedia.org/wiki/Predynastic_Egypt,,,,oklch(91.2% 0.038 96.3),#111,
egypt:period-early-dynastic,egypt-periods,-3150,-2686,Période thinite,Early Dynastic Period,https://fr.wikipedia.org/wiki/Période_thinite,https://en.wikipedia.org/wiki/Early_Dynastic_Period_(Egypt),,,,oklch(89.5% 0.044 92.8),#111,
egypt:period-old-kingdom,egypt-periods,-2686,-2181,Ancien Empire,Old Kingdom,https://fr.wikipedia.org/wiki/Ancien_Empire_égyptien,https://en.wikipedia.org/wiki/Old_Kingdom_of_Egypt,,,,oklch(87.8% 0.05 89.1),#111,
egypt:period-first-intermediate,egypt-periods,-2181,-2055,Première Période intermédiaire,First Intermediate Period,https://fr.wikipedia.org/wiki/Premi%C3%A8re_P%C3%A9riode_interm%C3%A9diaire,https://en.wikipedia.org/wiki/First_Intermediate_Period_of_Egypt,,,,oklch(86% 0.056 85.4),#111,
egypt:period-middle-kingdom,egypt-periods,-2055,-1650,Moyen Empire,Middle Kingdom,https://fr.wikipedia.org/wiki/Moyen_Empire_égyptien,https://en.wikipedia.org/wiki/Middle_Kingdom_of_Egypt,,,,oklch(84.2% 0.062 81.8),#111,
egypt:period-second-intermediate,egypt-periods,-1650,-1550,Deuxième Période intermédiaire,Second Intermediate Period,https://fr.wikipedia.org/wiki/Deuxième_Période_intermédiaire_égyptienne,https://en.wikipedia.org/wiki/Second_Intermediate_Period_of_Egypt,,,,oklch(82.4% 0.068 78.2),#111,
egypt:period-new-kingdom,egypt-periods,-1550,-1069,Nouvel Empire,New Kingdom,https://fr.wikipedia.org/wiki/Nouvel_Empire_égyptien,https://en.wikipedia.org/wiki/New_Kingdom_of_Egypt,,,,oklch(80.7% 0.074 74.7),#111,
egypt:period-third-intermediate,egypt-periods,-1069,-664,Troisième Période intermédiaire,Third Intermediate Period,https://fr.wikipedia.org/wiki/Troisième_Période_intermédiaire_égyptienne,https://en.wikipedia.org/wiki/Third_Intermediate_Period_of_Egypt,,,,oklch(78.9% 0.08 71.2),#111,
egypt:period-late,egypt-periods,-664,-332,Basse Époque,Late Period,https://fr.wikipedia.org/wiki/Basse_%C3%89poque,https://en.wikipedia.org/wiki/Late_Period_of_ancient_Egypt,,,,oklch(77.1% 0.086 67.8),#111,
egypt:period-ptolemaic,egypt-periods,-332,-30,Période ptolémaïque,Ptolemaic Period,https://fr.wikipedia.org/wiki/Dynastie_lagide,https://en.wikipedia.org/wiki/Ptolemaic_Kingdom,,,,oklch(75.4% 0.092 64.5),#111,
egypt:period-roman,egypt-periods,-30,395,Période romaine,Roman Period,https://fr.wikipedia.org/wiki/Égypte_romaine,https://en.wikipedia.org/wiki/Roman_Egypt,,,,oklch(73.8% 0.098 61.3),#111,
egypt:dynasty-i,egypt-dynasties,-3100,-2900,Ire dynastie,Dynasty I,https://fr.wikipedia.org/wiki/Ire_dynastie_égyptienne,https://en.wikipedia.org/wiki/First_Dynasty_of_Egypt,,,,oklch(76.8% 0.064 264.376),#111,
egypt:dynasty-ii,egypt-dynasties,-2890,-2686,IIe dynastie,Dynasty II,https://fr.wikipedia.org/wiki/IIe_dynastie_égyptienne,https://en.wikipedia.org/wiki/Second_Dynasty_of_Egypt,,,,oklch(74.5% 0.068 261.112),#111,
egypt:dynasty-iii,egypt-dynasties,-2686,-2613,IIIe dynastie,Dynasty III,https://fr.wikipedia.org/wiki/IIIe_dynastie_égyptienne,https://en.wikipedia.org/wiki/Third_Dynasty_of_Egypt,,,,oklch(72.4% 0.073 258.44),#111,
egypt:dynasty-iv,egypt-dynasties,-2613,-2498,IVe dynastie,Dynasty IV,https://fr.wikipedia.org/wiki/IVe_dynastie_égyptienne,https://en.wikipedia.org/wiki/Fourth_Dynasty_of_Egypt,,,,oklch(70.6% 0.077 255.767),#111,
egypt:dynasty-v,egypt-dynasties,-2498,-2345,Ve dynastie,Dynasty V,https://fr.wikipedia.org/wiki/Ve_dynastie_égyptienne,https://en.wikipedia.org/wiki/Fifth_Dynasty_of_Egypt,,,,oklch(68.6% 0.081 253.095),#111,
egypt:dynasty-vi,egypt-dynasties,-2345,-2181,VIe dynastie,Dynasty VI,https://fr.wikipedia.org/wiki/VIe_dynastie_égyptienne,https://en.wikipedia.org/wiki/Sixth_Dynasty_of_Egypt,,,,oklch(66.9% 0.085 250.422),#111,
