id,group,start,end,name_fr,name_en,name_latin,wiki_fr,wiki_en,description_fr,description_en,type,background,foreground,border
homo,homo,-7000000,0,Hominines,Hominina,Hominina,https://fr.wikipedia.org/wiki/Hominina,https://en.wikipedia.org/wiki/Australopithecine,,,,oklch(98.7% 0.026 102.212),#000,
homo:sahelanthropus_tchadensis,homo-early,-7000000,-6500000,Sahelanthropus tchadensis,Sahelanthropus tchadensis,,https://fr.wikipedia.org/wiki/Sahelanthropus_tchadensis,https://en.wikipedia.org/wiki/Sahelanthropus,,,,oklch(55.4% 0.135 66.442),#000,
homo:orrorin_tugenensis,homo-early,-6000000,-5500000,Orrorin tugenensis,Orrorin tugenensis,,https://fr.wikipedia.org/wiki/Orrorin_tugenensis,https://en.wikipedia.org/wiki/Orrorin,,,,oklch(55.4% 0.135 66.442),#000,
homo:ardipithecus_kadabba,homo-early,-6300000,-5200000,Ardipithecus kadabba,Ardipithecus kadabba,,https://fr.wikipedia.org/wiki/Ardipithecus_kadabba,https://en.wikipedia.org/wiki/Ardipithecus_kadabba,,,,oklch(55.4% 0.135 66.442),#000,
homo:ardipithecus_ramidus,homo-early,-4500000,-4300000,Ardipithecus ramidus,Ardipithecus ramidus,,https://fr.wikipedia.org/wiki/Ardipithecus_ramidus,https://en.wikipedia.org/wiki/Ardipithecus_ramidus,,,,oklch(55.4% 0.135 66.442),#000,
homo:kenyanthropus_platyops,homo-early,-3500000,-3200000,Kenyanthropus platyops,Kenyanthropus platyops,,https://fr.wikipedia.org/wiki/Kenyanthropus,https://en.wikipedia.org/wiki/Kenyanthropus,,,,oklch(55.4% 0.135 66.442),#000,
homo:australopithecus_anamensis,homo-australopithecus,-4200000,-3800000,Australopithecus anamensis,Australopithecus anamensis,,https://fr.wikipedia.org/wiki/Australopithecus_anamensis,https://en.wikipedia.org/wiki/Australopithecus_anamensis,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_afarensis,homo-australopithecus,-4100000,-3000000,Australopithecus afarensis,Australopithecus afarensis,,https://fr.wikipedia.org/wiki/Australopithecus_afarensis,https://en.wikipedia.org/wiki/Australopithecus_afarensis,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_bahrelghazali,homo-australopithecus,-3500000,-3000000,Australopithecus bahrelghazali,Australopithecus bahrelghazali,,https://fr.wikipedia.org/wiki/Australopithecus_bahrelghazali,https://en.wikipedia.org/wiki/Australopithecus_bahrelghazali,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_deyiremeda,homo-australopithecus,-3500000,-3300000,Australopithecus deyiremeda,Australopithecus deyiremeda,,https://fr.wikipedia.org/wiki/Australopithecus_deyiremeda,https://en.wikipedia.org/wiki/Australopithecus_deyiremeda,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_africanus,homo-australopithecus,-4000000,-2500000,Australopithecus africanus,Australopithecus africanus,,https://fr.wikipedia.org/wiki/Australopithecus_africanus,https://en.wikipedia.org/wiki/Australopithecus_africanus,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_garhi,homo-australopithecus,-2600000,-2500000,Australopithecus garhi,Australopithecus garhi,,https://fr.wikipedia.org/wiki/Australopithecus_garhi,https://en.wikipedia.org/wiki/Australopithecus_garhi,,,,oklch(79.5% 0.184 86.047),#000,
homo:australopithecus_sediba,homo-australopithecus,-2000000,-1900000,Australopithecus sediba,Australopithecus sediba,,https://fr.wikipedia.org/wiki/Australopithecus_sediba,https://en.wikipedia.org/wiki/Australopithecus_sediba,,,,oklch(79.5% 0.184 86.047),#000,
homo:paranthropus_aethiopicus,homo-paranthropus,-2700000,-2300000,Paranthropus aethiopicus,Paranthropus aethiopicus,,https://fr.wikipedia.org/wiki/Paranthropus_aethiopicus,https://en.wikipedia.org/wiki/Paranthropus_aethiopicus,,,,oklch(90.5% 0.182 98.111),#000,
homo:paranthropus_robustus,homo-paranthropus,-2200000,-1500000,Paranthropus robustus,Paranthropus robustus,,https://fr.wikipedia.org/wiki/Paranthropus_robustus,https://en.wikipedia.org/wiki/Paranthropus_robustus,,,,oklch(90.5% 0.182 98.111),#000,
homo:paranthropus_boisei,homo-paranthropus,-2200000,-1200000,Paranthropus boisei,Paranthropus boisei,,https://fr.wikipedia.org/wiki/Paranthropus_boisei,https://en.wikipedia.org/wiki/Paranthropus_boisei,,,,oklch(90.5% 0.182 98.111),#000,
homo:homo_rudolfensis,homo-homo,-2400000,-1600000,Homo rudolfensis,Homo rudolfensis,,https://fr.wikipedia.org/wiki/Homo_rudolfensis,https://en.wikipedia.org/wiki/Homo_rudolfensis,,,,oklch(97.3% 0.071 103.193),#000,
