id,group,start,end,circa,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
megaliths:gobekli-tepe,megaliths-middle-east,-9500,,true,Göbekli Tepe,Göbekli Tepe,https://fr.wikipedia.org/wiki/G%C3%B6bekli_Tepe,https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe,,,point,oklch(78% 0.02 250),,
megaliths:rujm-el-hiri,megaliths-middle-east,-3000,,true,Rujm el-Hiri,Rujm el-Hiri,https://fr.wikipedia.org/wiki/Rujm_el-Hiri,https://en.wikipedia.org/wiki/Rujm_el-Hiri,,,point,oklch(78% 0.02 250),,
megaliths:stonehenge,megaliths-europe,-2500,,true,Stonehenge,Stonehenge,https://fr.wikipedia.org/wiki/Stonehenge,https://en.wikipedia.org/wiki/Stonehenge,,,point,oklch(78% 0.02 250),,
megaliths:avebury,megaliths-europe,-2600,,true,Avebury,Avebury,https://fr.wikipedia.org/wiki/Avebury,https://en.wikipedia.org/wiki/Avebury,,,point,oklch(78% 0.02 250),,
megaliths:carnac,megaliths-europe,-4500,,true,Alignements de Carnac,Carnac stones,https://fr.wikipedia.org/wiki/Alignements_de_Carnac,https://en.wikipedia.org/wiki/Carnac_stones,,,point,oklch(78% 0.02 250),,
megaliths:newgrange,megaliths-europe,-3200,,true,Newgrange,Newgrange,https://fr.wikipedia.org/wiki/Newgrange,https://en.wikipedia.org/wiki/Newgrange,,,point,oklch(78% 0.02 250),,
megaliths:callanish,megaliths-europe,-2900,,true,Pierres de Callanish,Callanish Stones,https://fr.wikipedia.org/wiki/Cercle_de_pierre_callanaises,https://en.wikipedia.org/wiki/Callanish_Stones,,,point,oklch(78% 0.02 250),,
megaliths:almendres,megaliths-europe,-6000,,true,Cromlech des Almendres,Almendres Cromlech,https://fr.wikipedia.org/wiki/Cromlech_des_Almendres,https://en.wikipedia.org/wiki/Almendres_Cromlech,,,point,oklch(78% 0.02 250),,
megaliths:antequera,megaliths-europe,-3700,,true,Dolmens d'Antequera,Dolmens of Antequera,https://fr.wikipedia.org/wiki/Dolmens_d%27Antequera,https://en.wikipedia.org/wiki/Antequera_Dolmens_Site,,,point,oklch(78% 0.02 250),,
megaliths:temples-of-malta,megaliths-europe,-3200,,true,Temples mégalithiques de Malte,Megalithic Temples of Malta,https://fr.wikipedia.org/wiki/Temples_m%C3%A9galithiques_de_Malte,https://en.wikipedia.org/wiki/Megalithic_Temples_of_Malta,,,point,oklch(78% 0.02 250),,
megaliths:nabta-playa,megaliths-africa,-5000,,true,Nabta Playa,Nabta Playa,https://fr.wikipedia.org/wiki/Nabta_Playa,https://en.wikipedia.org/wiki/Nabta_Playa,,,point,oklch(78% 0.02 250),,
megaliths:senegambian-stone-circles,megaliths-africa,700,,true,Cercles mégalithiques de Sénégambie,Senegambian stone circles,https://fr.wikipedia.org/wiki/Cercles_m%C3%A9galithiques_de_S%C3%A9n%C3%A9gambie,https://en.wikipedia.org/wiki/Senegambian_stone_circles,,,point,oklch(78% 0.02 250),,
megaliths:gochang-dolmen-sites,megaliths-asia,-1000,,true,Sites dolmens de Gochang,Hwasun et Ganghwa,"https://fr.wikipedia.org/wiki/Sites_de_dolmens_de_Gochang,_Hwasun_et_Ganghwa","https://en.wikipedia.org/wiki/Gochang,_Hwasun_and_Ganghwa_Dolmen_Sites",,,point,oklch(78% 0.02 250),,
megaliths:stone-spheres-of-costa-rica,megaliths-middle-america,600,,true,Sphères de pierre du Costa Rica,Stone spheres of Costa Rica,https://fr.wikipedia.org/wiki/Sph%C3%A8res_m%C3%A9galithiques_du_Costa_Rica,https://en.wikipedia.org/wiki/Stone_spheres_of_Costa_Rica,,,point,oklch(78% 0.02 250),,
megaliths:br-na-boinne,megaliths-europe,-3200,,true,Brú na Bóinne,Brú na Bóinne,https://fr.wikipedia.org/wiki/Br%C3%BA_na_B%C3%B3inne,https://en.wikipedia.org/wiki/Br%C3%BA_na_B%C3%B3inne,,,point,oklch(78% 0.02 250),,
megaliths:maeshowe,megaliths-europe,-2800,,true,Maeshowe,Maeshowe,https://fr.wikipedia.org/wiki/Maeshowe,https://en.wikipedia.org/wiki/Maeshowe,,,point,oklch(78% 0.02 250),,
megaliths:ring-of-brodgar,megaliths-europe,-2500,,true,Anneau de Brodgar,Ring of Brodgar,https://fr.wikipedia.org/wiki/Cercle_de_Brodgar,https://en.wikipedia.org/wiki/Ring_of_Brodgar,,,point,oklch(78% 0.02 250),,
megaliths:stenness-stones,megaliths-europe,-3000,,true,Pierres de Stenness,Stones of Stenness,https://fr.wikipedia.org/wiki/Pierres_lev%C3%A9es_de_Stenness,https://en.wikipedia.org/wiki/Stones_of_Stenness,,,point,oklch(78% 0.02 250),,
megaliths:bryn-celli-ddu,megaliths-europe,-3000,,true,Bryn Celli Ddu,Bryn Celli Ddu,https://fr.wikipedia.org/wiki/Bryn_Celli_Ddu,https://en.wikipedia.org/wiki/Bryn_Celli_Ddu,,,point,oklch(78% 0.02 250),,
megaliths:roche-aux-fees,megaliths-europe,-3000,,true,Roche-aux-Fées,La Roche-aux-Fées,https://fr.wikipedia.org/wiki/La_Roche-aux-F%C3%A9es,https://en.wikipedia.org/wiki/La_Roche-aux-F%C3%A9es,,,point,oklch(78% 0.02 250),,
