id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
monarchs:house-merovingian,monarchs-france-houses,481,751,Mérovingiens,Merovingians,https://fr.wikipedia.org/wiki/Mérovingiens,https://en.wikipedia.org/wiki/Merovingian_dynasty,,,,oklch(82% 0.08 258),#111,
monarchs:house-carolingian,monarchs-france-houses,751,987,Carolingiens,Carolingians,https://fr.wikipedia.org/wiki/Carolingiens,https://en.wikipedia.org/wiki/Carolingian_dynasty,,,,oklch(82% 0.08 258),#111,
monarchs:house-robertian,monarchs-france-houses,888,923,Robertiens,Robertians,https://fr.wikipedia.org/wiki/Robertiens,https://en.wikipedia.org/wiki/Robertians,,,,oklch(82% 0.08 258),#111,
monarchs:house-bosonid,monarchs-france-houses,923,936,Bosonides,Bosonids,https://fr.wikipedia.org/wiki/Bosonides,https://en.wikipedia.org/wiki/Bosonids,,,,oklch(82% 0.08 258),#111,
monarchs:house-capet,monarchs-france-houses,987,1328,Capétiens directs,House of Capet,https://fr.wikipedia.org/wiki/Capétiens_directs,https://en.wikipedia.org/wiki/House_of_Capet,,,,oklch(82% 0.08 258),#111,
monarchs:house-valois,monarchs-france-houses,1328,1589,Valois,House of Valois,https://fr.wikipedia.org/wiki/Maison_de_Valois,https://en.wikipedia.org/wiki/House_of_Valois,,,,oklch(82% 0.08 258),#111,
monarchs:house-bourbon,monarchs-france-houses,1589,1792,Bourbons,House of Bourbon,https://fr.wikipedia.org/wiki/Maison_de_Bourbon,https://en.wikipedia.org/wiki/House_of_Bourbon,,,,oklch(82% 0.08 258),#111,
monarchs:house-bonaparte,monarchs-france-houses,1804,1815,Bonaparte (Premier Empire),House of Bonaparte (First Empire),https://fr.wikipedia.org/wiki/Maison_Bonaparte,https://en.wikipedia.org/wiki/House_of_Bonaparte,,,,oklch(82% 0.08 258),#111,
monarchs:house-bourbon-restoration,monarchs-france-houses,1814,1830,Bourbons (Restauration),House of Bourbon (Restoration),https://fr.wikipedia.org/wiki/Restauration_(France),https://en.wikipedia.org/wiki/Bourbon_Restoration_in_France,,,,oklch(82% 0.08 258),#111,
monarchs:house-orleans,monarchs-france-houses,1830,1848,Orléans,House of Orléans,https://fr.wikipedia.org/wiki/Quatrième_maison_d%27Orléans,https://en.wikipedia.org/wiki/House_of_Orléans,,,,oklch(82% 0.08 258),#111,
monarchs:house-bonaparte-2,monarchs-france-houses,1852,1870,Bonaparte (Second Empire),House of Bonaparte (Second Empire),https://fr.wikipedia.org/wiki/Second_Empire,https://en.wikipedia.org/wiki/Second_French_Empire,,,,oklch(82% 0.08 258),#111,
monarchs:house-wessex,monarchs-england-houses,871,1013,Maison de Wessex,House of Wessex,https://fr.wikipedia.org/wiki/Maison_de_Wessex,https://en.wikipedia.org/wiki/House_of_Wessex,,,,oklch(82% 0.08 25),#111,
monarchs:house-denmark,monarchs-england-houses,1013,1042,Maison de Danemark,House of Denmark,https://fr.wikipedia.org/wiki/Maison_de_Jelling,https://en.wikipedia.org/wiki/House_of_Knýtlinga,,,,oklch(82% 0.08 25),#111,
monarchs:house-wessex-2,monarchs-england-houses,1014,1016,Maison de Wessex (restaurée),House of Wessex (restored),https://fr.wikipedia.org/wiki/Maison_de_Wessex,https://en.wikipedia.org/wiki/House_of_Wessex,,,,oklch(82% 0.08 25),#111,
monarchs:house-wessex-3,monarchs-england-houses,1042,1066,Maison de Wessex (2e restauration),House of Wessex (2nd restoration),https://fr.wikipedia.org/wiki/Maison_de_Wessex,https://en.wikipedia.org/wiki/House_of_Wessex,,,,oklch(82% 0.08 25),#111,
monarchs:house-godwin,monarchs-england-houses,1066,1067,Maison de Godwin,House of Godwin,https://fr.wikipedia.org/wiki/Maison_de_Godwin,https://en.wikipedia.org/wiki/House_of_Godwin,,,,oklch(82% 0.08 25),#111,
monarchs:house-normandy,monarchs-england-houses,1066,1135,Normandie,House of Normandy,https://fr.wikipedia.org/wiki/Rollonides,https://en.wikipedia.org/wiki/House_of_Normandy,,,,oklch(82% 0.08 25),#111,
monarchs:house-blois,monarchs-england-houses,1135,1154,Maison de Blois,House of Blois,https://fr.wikipedia.org/wiki/Maison_de_Blois,https://en.wikipedia.org/wiki/House_of_Blois,,,,oklch(82% 0.08 25),#111,
monarchs:house-plantagenet,monarchs-england-houses,1154,1399,Plantagenêt,House of Plantagenet,https://fr.wikipedia.org/wiki/Maison_Plantagenêt,https://en.wikipedia.org/wiki/House_of_Plantagenet,,,,oklch(82% 0.08 25),#111,
monarchs:house-lancaster,monarchs-england-houses,1399,1471,Lancastre,House of Lancaster,https://fr.wikipedia.org/wiki/Maison_de_Lancastre,https://en.wikipedia.org/wiki/House_of_Lancaster,,,,oklch(82% 0.08 25),#111,
monarchs:house-york,monarchs-england-houses,1461,1485,York,House of York,https://fr.wikipedia.org/wiki/Maison_d%27York,https://en.wikipedia.org/wiki/House_of_York,,,,oklch(82% 0.08 25),#111,
monarchs:house-tudor,monarchs-england-houses,1485,1603,Tudor,House of Tudor,https://fr.wikipedia.org/wiki/Maison_Tudor,https://en.wikipedia.org/wiki/House_of_Tudor,,,,oklch(82% 0.08 25),#111,
monarchs:house-stuart,monarchs-england-houses,1603,1649,Stuart,House of Stuart,https://fr.wikipedia.org/wiki/Maison_Stuart,https://en.wikipedia.org/wiki/House_of_Stuart,,,,oklch(82% 0.08 25),#111,
monarchs:house-stuart-2,monarchs-england-houses,1660,1714,Stuart (restaurée),House of Stuart (restored),https://fr.wikipedia.org/wiki/Maison_Stuart,https://en.wikipedia.org/wiki/House_of_Stuart,,,,oklch(82% 0.08 25),#111,
