id,group,type,name_fr,name_en,start,end,circa,wiki_fr,wiki_en,credits_url,credits_attribution,cover,background,foreground,border
1765209128-1,pterosaurs,range,Aerodactylus,Aerodactylus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Aerodactylus,https://en.wikipedia.org/wiki/Aerodactylus,https://www.pteros.com/pterosaurs/aerodactylus.html,Pteros,https://pteros-img.imgix.net/aerodactylus_franz-anthony.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-2,pterosaurs,range,Aerodraco,Aerodraco,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Aerodraco,https://en.wikipedia.org/wiki/Aerodraco,https://www.pteros.com/pterosaurs/aerodraco.html,Pteros,https://pteros.s3.us-west-1.amazonaws.com/aeorodraco_joshua-tedder.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-3,pterosaurs,range,Aerotitan,Aerotitan,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Aerotitan,https://en.wikipedia.org/wiki/Aerotitan,https://www.pteros.com/pterosaurs/aerotitan.html,Pteros,https://pteros-img.imgix.net/aerotitan_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-4,pterosaurs,range,Aetodactylus,Aetodactylus,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Aetodactylus,https://en.wikipedia.org/wiki/Aetodactylus,https://www.pteros.com/pterosaurs/aetodactylus.html,Pteros,https://pteros-img.imgix.net/aetodactylus_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-5,pterosaurs,range,Afrotapejara,Afrotapejara,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Afrotapejara,https://en.wikipedia.org/wiki/Afrotapejara,https://www.pteros.com/pterosaurs/afrotapejara.html,Pteros,https://pteros-img.imgix.net/afrotapejara_brennan-stokkermans.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-6,pterosaurs,range,Alamodactylus,Alamodactylus,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Alamodactylus,https://en.wikipedia.org/wiki/Alamodactylus,https://www.pteros.com/pterosaurs/alamodactylus.html,Pteros,http://pteros-img.imgix.net/alamodactylus-nathan_e_rogers.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-7,pterosaurs,range,Alanqa,Alanqa,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Alanqa,https://en.wikipedia.org/wiki/Alanqa,https://www.pteros.com/pterosaurs/alanqa.html,Pteros,https://pteros-img.imgix.net/alanqa_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-8,pterosaurs,range,Albadraco,Albadraco,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Albadraco,https://en.wikipedia.org/wiki/Albadraco,https://www.pteros.com/pterosaurs/albadraco.html,Pteros,https://pteros-img.imgix.net/albadraco_joshua-tedder.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-9,pterosaurs,range,Alcione,Alcione,-100500000,-66000000,true,https://fr.wikipedia.org/wiki/Alcione,https://en.wikipedia.org/wiki/Alcione,https://www.pteros.com/pterosaurs/alcione.html,Pteros,https://pteros-img.imgix.net/alcione_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-10,pterosaurs,range,Allkaruen,Allkaruen,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Allkaruen,https://en.wikipedia.org/wiki/Allkaruen,https://www.pteros.com/pterosaurs/allkaruen.html,Pteros,https://pteros-img.imgix.net/allkaruen_joschua-knueppe.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-11,pterosaurs,range,Altmuehlopterus,Altmuehlopterus,-161500000,-143100000,true,https://fr.wikipedia.org/wiki/Altmuehlopterus,https://en.wikipedia.org/wiki/Altmuehlopterus,https://www.pteros.com/pterosaurs/altmuehlopterus.html,Pteros,https://pteros-img.imgix.net/altmuehlopterus_oliver-demuth.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
1765209128-12,pterosaurs,range,Angustinaripterus,Angustinaripterus,-174700000,-161500000,true,https://fr.wikipedia.org/wiki/Angustinaripterus,https://en.wikipedia.org/wiki/Angustinaripterus,https://www.pteros.com/pterosaurs/angustinaripterus.html,Pteros,https://pteros-img.imgix.net/angustinaripterus_chris-masnaghetti.png?w=300&fm=jpg&auto=compress,oklch(60.6% 0.25 292.717),,
