id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_en,description_fr,type,background,foreground,border
rome:period-kingdom,rome,-753,-509,Royaume romain,Roman Kingdom,https://fr.wikipedia.org/wiki/Royaume_de_Rome,https://en.wikipedia.org/wiki/Roman_Kingdom,,,,oklch(92% 0.06 20),#111,
rome:period-republic,rome,-509,-27,République romaine,Roman Republic,https://fr.wikipedia.org/wiki/République_romaine,https://en.wikipedia.org/wiki/Roman_Republic,,,,oklch(89% 0.075 20),#111,
rome:period-principate,rome,-27,284,Principat,Principate,https://fr.wikipedia.org/wiki/Principat,https://en.wikipedia.org/wiki/Principate,,,,oklch(86% 0.09 20),#111,
rome:period-dominate,rome,284,476,Dominat,Dominate,https://fr.wikipedia.org/wiki/Dominat,https://en.wikipedia.org/wiki/Dominate,,,,oklch(83% 0.105 20),#111,
rome:period-eastern-roman-empire,rome,476,1453,Empire romain d'Orient,Byzantine Empire,https://fr.wikipedia.org/wiki/Empire_byzantin,https://en.wikipedia.org/wiki/Byzantine_Empire,,,,oklch(80% 0.12 20),#111,
rome:king-romulus,rome-kings,-753,-715,Romulus,Romulus,https://fr.wikipedia.org/wiki/Romulus,https://en.wikipedia.org/wiki/Romulus,,,,oklch(78% 0.12 20),#111,
rome:king-numa-pompilius,rome-kings,-715,-673,Numa Pompilius,Numa Pompilius,https://fr.wikipedia.org/wiki/Numa_Pompilius,https://en.wikipedia.org/wiki/Numa_Pompilius,,,,oklch(78% 0.12 20),#111,
rome:king-tullus-hostilius,rome-kings,-673,-642,Tullus Hostilius,Tullus Hostilius,https://fr.wikipedia.org/wiki/Tullus_Hostilius,https://en.wikipedia.org/wiki/Tullus_Hostilius,,,,oklch(78% 0.12 20),#111,
rome:king-ancus-marcius,rome-kings,-642,-617,Ancus Marcius,Ancus Marcius,https://fr.wikipedia.org/wiki/Ancus_Marcius,https://en.wikipedia.org/wiki/Ancus_Marcius,,,,oklch(78% 0.12 20),#111,
rome:king-tarquinius-priscus,rome-kings,-616,-579,Tarquin l'Ancien,Lucius Tarquinius Priscus,https://fr.wikipedia.org/wiki/Tarquin_l%27Ancien,https://en.wikipedia.org/wiki/Lucius_Tarquinius_Priscus,,,,oklch(78% 0.12 20),#111,
rome:king-servius-tullius,rome-kings,-578,-535,Servius Tullius,Servius Tullius,https://fr.wikipedia.org/wiki/Servius_Tullius,https://en.wikipedia.org/wiki/Servius_Tullius,,,,oklch(78% 0.12 20),#111,
rome:king-tarquinius-superbus,rome-kings,-535,-509,Tarquin le Superbe,Lucius Tarquinius Superbus,https://fr.wikipedia.org/wiki/Tarquin_le_Superbe,https://en.wikipedia.org/wiki/Lucius_Tarquinius_Superbus,,,,oklch(78% 0.12 20),#111,
rome:emperor-augustus,rome-emperors,-27,14,Auguste,Augustus,https://fr.wikipedia.org/wiki/Auguste,https://en.wikipedia.org/wiki/Augustus,,,,oklch(55% 0.18 20),#fff,
