id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,type,background,foreground,border
earth,geology,-4567000000,0,Échelle des temps géologiques,Geologic Time Scale,https://fr.wikipedia.org/wiki/Échelle_des_temps_géologiques,https://en.wikipedia.org/wiki/Geologic_time_scale,"L'échelle des temps géologiques est une échelle de temps qui divise la Terre en époques, périodes, époques et âges.","The geological time scale is a time scale that divides the Earth into eons, eras, periods, epochs and ages.",,oklch(92.3% 0.003 48.717),,
ischart:Hadean,geology-eon,-4567000000,-4031000000,Hadéen,Hadean,https://fr.wikipedia.org/wiki/Hadéen,https://en.wikipedia.org/wiki/Hadean,A time period from 4567 to 4031 million years ago,A time period from 4567 to 4031 million years ago,,#AE027E,#000,#000
ischart:Precambrian,geology-super-eon,-4567000000,-538800000,Précambrien,Precambrian,https://fr.wikipedia.org/wiki/Précambrien,https://en.wikipedia.org/wiki/Precambrian,A time period from 4567 to 538.8 million years ago,A time period from 4567 to 538.8 million years ago,,#F74370,#000,#000
ischart:Eoarchean,geology-era,-4031000000,-3600000000,Eoarchéen,Eoarchean,https://fr.wikipedia.org/wiki/Éoarchéen,https://en.wikipedia.org/wiki/Eoarchean,A time period from 4031 to 3600 million years ago,A time period from 4031 to 3600 million years ago,,#DA037F,#000,#000
ischart:Archean,geology-eon,-4031000000,-2500000000,Archéen,Archean,https://fr.wikipedia.org/wiki/Archéen,https://en.wikipedia.org/wiki/Archean,A time period from 4031 to 2500 million years ago,A time period from 4031 to 2500 million years ago,,#F0047F,#000,#000
ischart:Paleoarchean,geology-era,-3600000000,-3200000000,Paléoarchéen,Paleoarchean,https://fr.wikipedia.org/wiki/Paléoarchéen,https://en.wikipedia.org/wiki/Paleoarchean,A time period from 3600 to 3200 million years ago,A time period from 3600 to 3200 million years ago,,#F4449F,#000,#000
ischart:Mesoarchean,geology-era,-3200000000,-2800000000,Mésoarchéen,Mesoarchean,https://fr.wikipedia.org/wiki/Mésoarchéen,https://en.wikipedia.org/wiki/Mesoarchean,A time period from 3200 to 2800 million years ago,A time period from 3200 to 2800 million years ago,,#F768A9,#000,#000
ischart:Neoarchean,geology-era,-2800000000,-2500000000,Néoarchéen,Neoarchean,https://fr.wikipedia.org/wiki/Néoarchéen,https://en.wikipedia.org/wiki/Neoarchean,A time period from 2800 to 2500 million years ago,A time period from 2800 to 2500 million years ago,,#F99BC1,#000,#000
ischart:Siderian,geology-period,-2500000000,-2300000000,Sidérien,Siderian,https://fr.wikipedia.org/wiki/Sidérien,https://en.wikipedia.org/wiki/Siderian,A time period from 2500 to 2300 million years ago,A time period from 2500 to 2300 million years ago,,#F74F7C,#000,#000
ischart:Paleoproterozoic,geology-era,-2500000000,-1600000000,Paléoprotérozoïque,Paleoproterozoic,https://fr.wikipedia.org/wiki/Paléoprotérozoïque,https://en.wikipedia.org/wiki/Paleoproterozoic,A time period from 2500 to 1600 million years ago,A time period from 2500 to 1600 million years ago,,#F74370,#000,#000
ischart:Proterozoic,geology-eon,-2500000000,-538800000,Protérozoïque,Proterozoic,https://fr.wikipedia.org/wiki/Protérozoïque,https://en.wikipedia.org/wiki/Proterozoic,A time period from 2500 to 538.8 million years ago,A time period from 2500 to 538.8 million years ago,,#F73563,#000,#000
ischart:Rhyacian,geology-period,-2300000000,-2050000000,Rhyacien,Rhyacian,https://fr.wikipedia.org/wiki/Rhyacien,https://en.wikipedia.org/wiki/Rhyacian,A time period from 2300 to 2050 million years ago,A time period from 2300 to 2050 million years ago,,#F75B89,#000,#000
